"","sitename","date","pm25count","pm25","latitude","longitude"
"144","43. Rajshahi, Thakurmara2",2022-04-27 14:00:00,4,29.25,24.3955383,88.5699585
"145","43. Rajshahi, Thakurmara2",2022-04-27 15:00:00,4,28.75,24.3955383,88.5699585
"146","43. Rajshahi, Thakurmara2",2022-04-27 16:00:00,4,28,24.3955383,88.5699585
"147","43. Rajshahi, Thakurmara2",2022-04-27 17:00:00,4,29,24.3955383,88.5699585
"148","43. Rajshahi, Thakurmara2",2022-04-27 18:00:00,4,30.5,24.3955383,88.5699585
"149","43. Rajshahi, Thakurmara2",2022-04-27 19:00:00,4,31.25,24.3955383,88.5699585
"150","43. Rajshahi, Thakurmara2",2022-04-27 20:00:00,4,32.25,24.3955383,88.5699585
"151","43. Rajshahi, Thakurmara2",2022-04-27 21:00:00,4,33,24.3955383,88.5699585
"152","43. Rajshahi, Thakurmara2",2022-04-27 22:00:00,4,32.75,24.3955383,88.5699585
"153","43. Rajshahi, Thakurmara2",2022-04-27 23:00:00,4,32.25,24.3955383,88.5699585
"154","43. Rajshahi, Thakurmara2",2022-04-28 00:00:00,4,31.75,24.3955383,88.5699585
"155","43. Rajshahi, Thakurmara2",2022-04-28 01:00:00,4,31,24.3955383,88.5699585
"156","43. Rajshahi, Thakurmara2",2022-04-28 02:00:00,4,29.75,24.3955383,88.5699585
"157","43. Rajshahi, Thakurmara2",2022-04-28 03:00:00,4,29.25,24.3955383,88.5699585
"158","43. Rajshahi, Thakurmara2",2022-04-28 04:00:00,4,29.25,24.3955383,88.5699585
"159","43. Rajshahi, Thakurmara2",2022-04-28 05:00:00,4,28,24.3955383,88.5699585
"160","43. Rajshahi, Thakurmara2",2022-04-28 06:00:00,4,27.25,24.3955383,88.5699585
"161","43. Rajshahi, Thakurmara2",2022-04-28 07:00:00,4,27.25,24.3955383,88.5699585
"162","43. Rajshahi, Thakurmara2",2022-04-28 08:00:00,4,27.75,24.3955383,88.5699585
"163","43. Rajshahi, Thakurmara2",2022-04-28 09:00:00,4,30.75,24.3955383,88.5699585
"164","43. Rajshahi, Thakurmara2",2022-04-28 10:00:00,4,30.75,24.3955383,88.5699585
"165","43. Rajshahi, Thakurmara2",2022-04-28 11:00:00,4,31.25,24.3955383,88.5699585
"166","43. Rajshahi, Thakurmara2",2022-04-28 12:00:00,4,32.75,24.3955383,88.5699585
"167","43. Rajshahi, Thakurmara2",2022-04-28 13:00:00,4,34.75,24.3955383,88.5699585
"168","43. Rajshahi, Thakurmara2",2022-04-28 14:00:00,4,35,24.3955383,88.5699585
"169","43. Rajshahi, Thakurmara2",2022-04-28 15:00:00,4,35.5,24.3955383,88.5699585
"170","43. Rajshahi, Thakurmara2",2022-04-28 16:00:00,4,35.75,24.3955383,88.5699585
"171","43. Rajshahi, Thakurmara2",2022-04-28 17:00:00,4,36,24.3955383,88.5699585
"172","43. Rajshahi, Thakurmara2",2022-04-28 18:00:00,4,36,24.3955383,88.5699585
"173","43. Rajshahi, Thakurmara2",2022-04-28 19:00:00,4,35.75,24.3955383,88.5699585
"174","43. Rajshahi, Thakurmara2",2022-04-28 20:00:00,4,36.25,24.3955383,88.5699585
"175","43. Rajshahi, Thakurmara2",2022-04-28 21:00:00,4,37.5,24.3955383,88.5699585
"176","43. Rajshahi, Thakurmara2",2022-04-28 22:00:00,4,38.5,24.3955383,88.5699585
"177","43. Rajshahi, Thakurmara2",2022-04-28 23:00:00,4,39.5,24.3955383,88.5699585
